company,location_hq,num_laid_off,layoff_date,percent_laid_off,industry,source,stage,raised_million,country,date_added
Circle,Boston,50,12/5/24,6%,Crypto,https://www.coindesk.com/business/2024/12/05/usdc-issuer-circle-makes-layoffs-as-part-of-operations-review-bloomberg,Private Equity,"$1,100 ",United States,12/7/24
Skai,Tel AvivNon-U.S.,80,12/3/24,14%,Marketing,https://www.calcalistech.com/ctechnews/article/bjorbhhmyg,Series E,$60 ,Israel,12/10/24
Booking Holdings,Norwalk,60,12/4/24,,Travel,https://skift.com/2024/12/04/booking-holdings-laid-off-60-employees-at-b2b-arm-as-it-resets-priorities/,Post-IPO,"$2,800 ",United States,12/7/24
AlphaSense,New York City,150,11/27/24,8%,Other,https://news.bloomberglaw.com/daily-labor-report/market-research-firm-alphasense-cut-150-jobs-in-restructuring,Series F,"$1,400 ",United States,11/28/24
LinkedIn,SF Bay Area,202,11/21/24,1%,Recruiting,https://www.theinformation.com/briefings/linkedin-lays-off-200-employees,Acquired,$154 ,United States,11/24/24
Headspace,Los Angeles,,11/20/24,13%,Healthcare,https://bhbusiness.com/2024/11/20/headspace-axes-13-of-workforce-transition-therapist-network-to-part-time-and-contract-roles/,Unknown,$216 ,United States,11/28/24
Sprout Social,Chicago,,11/25/24,,Marketing,https://docs.google.com/spreadsheets/d/18Grpra9ciB9dWzWJ2W0ao8WjCrm_t5foqFt6Ebb6aUo/edit?gid=1610497511#gid=1610497511,Post-IPO,$111 ,United States,12/13/24
Adjust,BerlinNon-U.S.,304,11/22/24,,Marketing,https://www.pocketgamer.biz/applovin-owned-adjust-lays-off-staff/,Acquired,$256 ,Germany,11/24/24
Klub,BengaluruNon-U.S.,60,11/29/24,,Finance,https://www.livemint.com/companies/start-ups/klub-halves-workforce-peak-xv-trifecta-capital-backed-fintech-startup-11732868338440.html,Unknown,$35 ,India,12/1/24
Ola Electric,BengaluruNon-U.S.,500,11/22/24,,Transportation,https://www.techinasia.com/news/indias-ola-electric-cuts-500-employees-boost-profits,Post-IPO,"$1,700 ",India,11/24/24
Hopper,MontrealNon-U.S.,,11/22/24,,Travel,https://skift.com/2024/11/22/hopper-restructures-with-job-cuts-for-the-second-time-in-a-year/,Unknown,$730 ,Canada,11/24/24
Own,New York City,,11/19/24,,Data,https://www.bloomberg.com/news/articles/2024-11-19/salesforce-plans-layoffs-at-acquisition-own-in-strategy-shift,Acquired,$507 ,United States,11/20/24
SolarEdge,Tel AvivNon-U.S.,500,11/27/24,12%,Energy,https://www.reuters.com/business/energy/inverter-maker-solaredge-reduce-12-its-workforce-2024-11-27/,Post-IPO,$155 ,Israel,1/7/25
Better Collective,CopenhagenNon-U.S.,300,11/14/24,,Other,https://www.igbaffiliate.com/en/articles/117348/m-a-helps-better-collective-fend-off-trouble-in-q3-as-300-staff-layoffs-revealed/,Unknown,,Denmark,2/17/25
New Relic,SF Bay Area,,11/12/24,,Infrastructure,https://www.bizjournals.com/portland/news/2024/11/12/more-layoffs-new-relic-francisco-partners-tpg.html,Acquired,$214 ,United States,11/13/24
Lyra Health,SF Bay Area,77,11/12/24,2%,Healthcare,https://www.fiercehealthcare.com/digital-health/lyra-lays-2-workforce-amid-restructuring-impacting-non-clinicians,Series F,$910 ,United States,11/20/24
Kuku FM,MumbaiNon-U.S.,80,11/14/24,,Media,https://inc42.com/buzz/kuku-fm-fires-100-employees-to-cut-costs/,Series C,$71 ,India,11/14/24
AppLovin,SF Bay Area,120,11/13/24,,Marketing,https://www.sfgate.com/tech/article/applovin-layoffs-stock-market-run-19920195.php,Post-IPO,"$1,600 ",United States,11/16/24
TrueLayer,LondonNon-U.S.,71,11/15/24,25%,Finance,https://www.cityam.com/former-fintech-unicorn-truelayer-laid-off-a-quarter-of-staff-in-one-day/,Series E,$321 ,United Kingdom,11/20/24
Forward,SF Bay Area,200,11/12/24,100%,Healthcare,https://www.theinformation.com/articles/forward-startup-behind-doctor-in-box-healthcare-modules-to-shut-down,Series E,$325 ,United States,11/13/24
Chegg,SF Bay Area,319,11/12/24,21%,Education,https://www.wsj.com/livecoverage/stock-market-today-dow-sp500-nasdaq-live-11-12-2024/card/online-education-company-chegg-to-lay-off-staff-as-ai-tools-weigh-on-revenue-targets-qYYbTOKMAe8OblSEyLUD,Post-IPO,$227 ,United States,11/13/24
AMD,SF Bay Area,1000,11/13/24,4%,Hardware,https://www.techopedia.com/news/amd-layoffs-amid-mixed-earnings-and-intel-merger-speculation,Post-IPO,,United States,11/13/24
Freshworks,SF Bay Area,660,11/7/24,13%,Support,https://entrackr.com/news/freshworks-announces-13-layoffs-400-mn-stock-buyback-and-q3-results-7561767,Post-IPO,$484 ,United States,11/7/24
Exosonic,Los Angeles,,11/8/24,100%,Aerospace,https://techcrunch.com/2024/11/08/supersonic-aircraft-startup-exosonic-is-shutting-down/,Seed,$4 ,United States,11/8/24
Booking.com,Grand Rapids,,11/8/24,,Travel,https://skift.com/2024/11/08/booking-holdings-to-lay-off-employees-shift-spending-priorities/,Acquired,,United States,11/9/24
Sword Health,New York City,13,11/11/24,,Healthcare,https://www.businessinsider.com/3-billion-sword-health-cuts-physical-therapists-2024-11,Unknown,$450 ,United States,11/11/24
Stoa,BengaluruNon-U.S.,,11/12/24,100%,Education,https://inc42.com/buzz/alternative-mba-startup-stoa-shuts-operations/,Seed,,India,11/14/24
23andMe,SF Bay Area,200,11/11/24,40%,Healthcare,https://www.wsj.com/tech/biotech/23andme-to-cut-workforce-by-40-discontinues-therapeutics-pipeline-8c818729,Post-IPO,"$1,100 ",United States,11/11/24
Enphase Energy,SF Bay Area,500,11/11/24,17%,Energy,https://www.sfgate.com/tech/article/enphase-energy-layoffs-workers-solar-19907535.php,Post-IPO,$116 ,United States,11/11/24
